,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate (%),Broadband (%),GEO ID
28,"Tuscaloosa County, Alabama",204424.0,32.3,50513.0,24895.0,33597.0,16.43495871326263,0.80076486,0500000US01125
29,"Washington County, Alabama",16746.0,43.5,42185.0,23239.0,3644.0,21.760420398901232,0.51973683,0500000US01129
30,"Clay County, Alabama",13407.0,43.8,37287.0,21330.0,2493.0,18.594763929290668,0.55072463,0500000US01027
31,"Coffee County, Alabama",51073.0,39.3,49821.0,26216.0,8122.0,15.902727468525445,0.59725398,0500000US01031
32,"Morgan County, Alabama",119157.0,40.1,47529.0,25013.0,19448.0,16.321323967538625,0.76088643,0500000US01103
33,"Pike County, Alabama",33287.0,31.4,35684.0,20808.0,8224.0,24.70634181512302,0.50367647,0500000US01109
34,"Chilton County, Alabama",43805.0,38.9,43501.0,23368.0,8392.0,19.15763040748773,0.59402984,0500000US01021
35,"Colbert County, Alabama",54435.0,42.5,45477.0,23675.0,9056.0,16.636355286121063,0.56603777,0500000US01033
36,"Coosa County, Alabama",10955.0,45.9,34792.0,20342.0,1513.0,13.811045184847101,0.48837209,0500000US01037
37,"Dale County, Alabama",49393.0,37.1,44711.0,23194.0,9441.0,19.114044500232826,0.5625,0500000US01045
38,"Hale County, Alabama",14995.0,39.8,34679.0,20269.0,3852.0,25.68856285428476,0.51948053,0500000US01065
39,"Etowah County, Alabama",103132.0,40.9,42064.0,22278.0,18166.0,17.61431951285731,0.77752084,0500000US01055
40,"DeKalb County, Alabama",71194.0,39.0,38842.0,20020.0,15115.0,21.23072169003006,0.72014296,0500000US01049
41,"Escambia County, Alabama",37621.0,39.6,35026.0,18164.0,8281.0,22.01164243374711,0.59133124,0500000US01053
42,"Lamar County, Alabama",14021.0,44.5,36016.0,21152.0,3191.0,22.758719064260752,0.53793103,0500000US01075
43,"Randolph County, Alabama",22530.0,42.7,39485.0,20983.0,4102.0,18.206835330670216,0.52525252,0500000US01111
44,"Butler County, Alabama",20126.0,40.7,36326.0,19004.0,4835.0,24.02365099870814,0.59183675,0500000US01013
45,"Mobile County, Alabama",414328.0,37.3,45802.0,24347.0,78256.0,18.88745148771022,0.76992083,0500000US01097
46,"Conecuh County, Alabama",12649.0,44.5,30434.0,16337.0,3316.0,26.21551110759744,0.5,0500000US01035
47,"Perry County, Alabama",9680.0,37.6,22973.0,13449.0,3706.0,38.28512396694215,0.44303799,0500000US01105
48,"Walker County, Alabama",64927.0,42.3,38872.0,21217.0,13754.0,21.183791026845533,0.79550987,0500000US01127
49,"Cleburne County, Alabama",14939.0,41.7,37396.0,20873.0,2800.0,18.742887743490193,0.57723576,0500000US01029
50,"Greene County, Alabama",8533.0,42.0,20954.0,14197.0,3293.0,38.59135122465721,0.41935483,0500000US01063
51,"Barbour County, Alabama",26201.0,39.7,33368.0,17561.0,6332.0,24.16701652608679,0.4789916,0500000US01005
52,"Bibb County, Alabama",22580.0,39.8,43404.0,20911.0,3133.0,13.87511071744907,0.60674155,0500000US01007
53,"Bullock County, Alabama",10478.0,40.8,29655.0,20856.0,2852.0,27.218934911242602,0.55555558,0500000US01011
54,"Calhoun County, Alabama",115527.0,39.1,43686.0,23638.0,20940.0,18.125632968916356,0.76647949,0500000US01015
55,"Chambers County, Alabama",33895.0,43.0,37342.0,22002.0,6288.0,18.55140876235433,0.57284766,0500000US01017
56,"Clarke County, Alabama",24625.0,42.2,33827.0,20765.0,6108.0,24.804060913705584,0.64220184,0500000US01025
57,"Fayette County, Alabama",16657.0,43.6,36541.0,21191.0,2967.0,17.8123311520682,0.55333334,0500000US01057
58,"Montgomery County, Alabama",227120.0,35.9,46545.0,26712.0,45863.0,20.19328989080662,0.84465063,0500000US01101
59,"Marshall County, Alabama",94738.0,38.8,41104.0,22710.0,19654.0,20.74563533112373,0.8351264000000002,0500000US01095
60,"Blount County, Alabama",57667.0,40.9,47412.0,22021.0,8919.0,15.466384587372326,0.58669353,0500000US01009
61,"Henry County, Alabama",17110.0,43.5,45569.0,23983.0,2310.0,13.500876680303916,0.62686563,0500000US01067
62,"Madison County, Alabama",353213.0,38.2,61318.0,34232.0,46925.0,13.285184860126892,0.89404434,0500000US01089
63,"Autauga County, Alabama",55036.0,37.8,55317.0,27824.0,7483.0,13.596554982193473,0.61818182,0500000US01001
64,"Tallapoosa County, Alabama",40756.0,43.3,42181.0,22430.0,8532.0,20.934340955932868,0.5668934,0500000US01123
65,"Geneva County, Alabama",26572.0,42.7,39293.0,21084.0,5903.0,22.215113653469817,0.5864979,0500000US01061
66,"Wilcox County, Alabama",10919.0,40.5,27012.0,15774.0,3371.0,30.872790548585034,0.54455447,0500000US01131
67,"Kodiak Island Borough, Alaska",13773.0,33.1,74167.0,32625.0,1262.0,9.162854860959849,0.43181819,0500000US02150
68,"Denali Borough, Alaska",2303.0,38.4,83295.0,33084.0,351.0,15.240990013026487,0.56521738,0500000US02068
69,"Valdez-Cordova Census Area, Alaska",9439.0,40.0,86019.0,37935.0,694.0,7.352473779002013,0.52688169,0500000US02261
70,"Kenai Peninsula Borough, Alaska",57961.0,40.6,65279.0,33336.0,6229.0,10.746881523783234,0.48214287,0500000US02122
71,"Aleutians West Census Area, Alaska",5784.0,37.7,85192.0,35998.0,419.0,7.244121715076072,0.39393941,0500000US02016
72,"Bristol Bay Borough, Alaska",917.0,41.8,79500.0,42002.0,63.0,6.870229007633588,0.42857143,0500000US02060
73,"Northwest Arctic Borough, Alaska",7715.0,26.6,61533.0,21879.0,1934.0,25.06804925469864,0.48979592,0500000US02188
74,"Bethel Census Area, Alaska",17957.0,26.9,53853.0,18654.0,4705.0,26.201481316478255,0.54545456,0500000US02050
75,"North Slope Borough, Alaska",9757.0,34.6,77266.0,48777.0,976.0,10.003074715588808,0.375,0500000US02185
76,"Sitka City and Borough, Alaska",8810.0,38.9,70765.0,36617.0,800.0,9.080590238365494,0.2888889,0500000US02220
77,"Fairbanks North Star Borough, Alaska",100031.0,31.0,76250.0,35328.0,7340.0,7.337725305155402,0.86337143,0500000US02090
78,"Ketchikan Gateway Borough, Alaska",13745.0,39.5,67321.0,33771.0,1437.0,10.454710803928702,0.45394737,0500000US02130
79,"Matanuska-Susitna Borough, Alaska",101135.0,34.9,74887.0,30409.0,9759.0,9.649478419933752,0.90876383,0500000US02170
80,"Yakutat City and Borough, Alaska",682.0,39.4,64583.0,32393.0,42.0,6.158357771260997,0.42857143,0500000US02282
81,"Nome Census Area, Alaska",9869.0,27.9,53821.0,20952.0,2381.0,24.126051271658728,0.40909091,0500000US02180
82,"Dillingham Census Area, Alaska",4974.0,30.1,58708.0,24647.0,817.0,16.42541214314435,0.66666663,0500000US02070
83,"Haines Borough, Alaska",2537.0,45.0,70640.0,35907.0,210.0,8.277493102089082,0.34285712,0500000US02100
84,"Juneau City and Borough, Alaska",32434.0,38.0,90749.0,41904.0,2339.0,7.211568107541469,0.49557522,0500000US02110
85,"Lake and Peninsula Borough, Alaska",1301.0,32.3,45208.0,23434.0,213.0,16.372021521906227,0.63636363,0500000US02164
86,"Southeast Fairbanks Census Area, Alaska",6889.0,36.6,63866.0,31051.0,942.0,13.673973000435478,0.55263156,0500000US02240
87,"Yukon-Koyukuk Census Area, Alaska",5453.0,34.7,37819.0,21057.0,1373.0,25.178800660187054,0.47169811,0500000US02290
88,"Anchorage Municipality, Alaska",298225.0,33.1,82271.0,38977.0,23510.0,7.883309581691676,0.94184846,0500000US02020
89,"Aleutians East Borough, Alaska",3338.0,42.7,66607.0,31254.0,555.0,16.626722588376275,0.3888889,0500000US02013
90,"Prince of Wales-Hyder Census Area, Alaska",6473.0,41.0,52114.0,26695.0,1027.0,15.86590452649467,0.65909088,0500000US02198
91,"Wrangell City and Borough, Alaska",2475.0,49.1,56094.0,29943.0,287.0,11.595959595959595,0.65625,0500000US02275
92,"Skagway Municipality, Alaska",1038.0,42.9,70673.0,39376.0,58.0,5.5876685934489405,0.375,0500000US02230
93,"Pima County, Arizona",1007257.0,38.2,48676.0,27323.0,179569.0,17.82752564638419,0.89244461,0500000US04019
94,"Maricopa County, Arizona",4155501.0,36.0,58580.0,30186.0,644476.0,15.508984355917613,0.87293696,0500000US04013
95,"Gila County, Arizona",53145.0,49.3,41179.0,22433.0,11427.0,21.50155235675981,0.44711539,0500000US04007
96,"Graham County, Arizona",37700.0,33.1,48173.0,17874.0,7089.0,18.80371352785146,0.51310861,0500000US04009
97,"Santa Cruz County, Arizona",46358.0,36.6,39630.0,19482.0,10049.0,21.676948962422884,0.50591719,0500000US04023
98,"Cochise County, Arizona",126516.0,40.5,47847.0,24896.0,21054.0,16.64137342312435,0.82404226,0500000US04003
99,"La Paz County, Arizona",20477.0,56.0,36479.0,21707.0,3971.0,19.39248913415051,0.28333333,0500000US04012
100,"Mohave County, Arizona",204691.0,50.4,41567.0,23527.0,37080.0,18.115110092773985,0.86169481,0500000US04015
101,"Apache County, Arizona",71602.0,34.2,32360.0,13865.0,25225.0,35.229462864165804,0.4124437,0500000US04001
102,"Coconino County, Arizona",138639.0,30.6,53523.0,25722.0,26719.0,19.272354820793574,0.77260703,0500000US04005
103,"Yavapai County, Arizona",220972.0,52.2,48259.0,27504.0,31859.0,14.41766377640606,0.84668058,0500000US04025
104,"Yuma County, Arizona",204281.0,34.1,43253.0,20600.0,39161.0,19.170162668089542,0.84571642,0500000US04027
105,"Greenlee County, Arizona",9368.0,33.4,56298.0,24935.0,1069.0,11.411187019641332,0.40322581,0500000US04011
106,"Navajo County, Arizona",107902.0,35.9,38798.0,17685.0,30548.0,28.310874682582345,0.55681682,0500000US04017
107,"Pinal County, Arizona",405537.0,38.5,52628.0,22944.0,58750.0,14.486964198087968,0.85738784,0500000US04021
108,"White County, Arkansas",78706.0,36.3,44074.0,23120.0,12354.0,15.696389093588799,0.82391131,0500000US05145
109,"Nevada County, Arkansas",8528.0,43.8,36995.0,18644.0,1920.0,22.5140712945591,0.60344827,0500000US05099
110,"St. Francis County, Arkansas",26688.0,38.4,33102.0,16518.0,6363.0,23.842176258992804,0.51898736,0500000US05123
111,"Pulaski County, Arkansas",392848.0,36.7,48850.0,29855.0,67056.0,17.069197246772287,0.81423807,0500000US05119
112,"Clay County, Arkansas",15190.0,43.4,32219.0,19171.0,3339.0,21.981566820276498,0.5648854999999999,0500000US05021
113,"Cross County, Arkansas",17164.0,40.7,41081.0,22894.0,3041.0,17.71731531111629,0.44827586,0500000US05037
114,"Dallas County, Arkansas",7585.0,43.7,35794.0,18309.0,906.0,11.944627554383652,0.51724136,0500000US05039
115,"Drew County, Arkansas",18620.0,36.5,36092.0,20300.0,4246.0,22.80343716433942,0.62992126,0500000US05043
116,"Columbia County, Arkansas",23992.0,36.2,37072.0,20296.0,5553.0,23.145215071690565,0.38797814,0500000US05027
117,"Randolph County, Arkansas",17514.0,42.2,35930.0,20932.0,3557.0,20.30946671234441,0.50344825,0500000US05121
118,"Saline County, Arkansas",116252.0,39.0,58985.0,28410.0,9210.0,7.922444345043526,0.9002369,0500000US05125
119,"Van Buren County, Arkansas",16751.0,47.6,34428.0,20568.0,3250.0,19.401826756611545,0.42253521,0500000US05141
120,"Boone County, Arkansas",37212.0,42.2,40727.0,22288.0,5767.0,15.497688917553477,0.52547771,0500000US05009
121,"Izard County, Arkansas",13521.0,48.0,39135.0,19737.0,2238.0,16.552030175282894,0.47872341,0500000US05065
122,"Independence County, Arkansas",37097.0,39.8,39945.0,23056.0,6628.0,17.866673855028708,0.58964139,0500000US05063
123,"Lincoln County, Arkansas",13885.0,38.6,38873.0,13142.0,1620.0,11.66726683471372,0.42500001,0500000US05079
124,"Logan County, Arkansas",21802.0,42.2,37982.0,19708.0,4326.0,19.842216310430235,0.49006623,0500000US05083
125,"Grant County, Arkansas",18076.0,39.9,49968.0,25814.0,2579.0,14.267537065722506,0.55833334,0500000US05053
126,"Crittenden County, Arkansas",49278.0,35.0,38558.0,20721.0,11422.0,23.178700434270873,0.52989131,0500000US05035
127,"Franklin County, Arkansas",17803.0,41.4,39472.0,19988.0,3829.0,21.507611076784812,0.5182482,0500000US05047
128,"Faulkner County, Arkansas",121282.0,32.3,50316.0,25240.0,18989.0,15.656898797843043,0.80467725,0500000US05045
129,"Pike County, Arkansas",10893.0,41.8,36893.0,20180.0,1852.0,17.00174423941981,0.43661973,0500000US05109
130,"Jefferson County, Arkansas",71373.0,39.0,37630.0,20371.0,16140.0,22.613593375646253,0.70155936,0500000US05069
131,"Marion County, Arkansas",16374.0,51.8,36113.0,19200.0,3165.0,19.32942469769146,0.46875,0500000US05089
132,"Montgomery County, Arkansas",9059.0,50.0,35252.0,21480.0,1613.0,17.80549729550723,0.57333332,0500000US05097
133,"Scott County, Arkansas",10584.0,41.2,37396.0,18077.0,2142.0,20.238095238095237,0.390625,0500000US05127
134,"Searcy County, Arkansas",7925.0,47.3,36716.0,21475.0,1364.0,17.21135646687697,0.43137255,0500000US05129
135,"Sebastian County, Arkansas",127362.0,37.3,40932.0,23916.0,28211.0,22.150248896845213,0.81791461,0500000US05131
136,"Crawford County, Arkansas",62119.0,38.7,43504.0,22104.0,10196.0,16.413657657077543,0.5452323,0500000US05033
137,"Benton County, Arkansas",251823.0,35.2,61271.0,30611.0,26096.0,10.362834212919392,0.56039518,0500000US05007
138,"Chicot County, Arkansas",11008.0,43.3,32412.0,20560.0,3041.0,27.625363372093023,0.53191489,0500000US05017
139,"Hot Spring County, Arkansas",33480.0,41.7,40626.0,20868.0,4941.0,14.758064516129032,0.54404145,0500000US05059
140,"Johnson County, Arkansas",26155.0,37.8,35758.0,18757.0,5733.0,21.9193270885108,0.40853655,0500000US05071
141,"Lee County, Arkansas",9614.0,41.9,27901.0,15610.0,2173.0,22.6024547534845,0.39393941,0500000US05077
142,"Madison County, Arkansas",15907.0,42.5,42894.0,23203.0,2797.0,17.583453825359904,0.41999999,0500000US05087
143,"Desha County, Arkansas",12094.0,40.2,27036.0,18187.0,3886.0,32.13163552174632,0.53846151,0500000US05041
144,"Fulton County, Arkansas",12092.0,48.1,36051.0,19674.0,2718.0,22.477671187562024,0.55882353,0500000US05049
145,"Howard County, Arkansas",13472.0,38.5,34851.0,23627.0,2790.0,20.709619952494062,0.63380283,0500000US05061
146,"Garland County, Arkansas",97994.0,44.7,41672.0,25690.0,18300.0,18.67461273139172,0.84228766,0500000US05051
147,"Mississippi County, Arkansas",43534.0,36.1,36417.0,20378.0,10921.0,25.08613956907245,0.37820515,0500000US05093
148,"Pope County, Arkansas",63372.0,34.9,40668.0,21650.0,11841.0,18.68490816133308,0.41860467,0500000US05115
149,"Prairie County, Arkansas",8309.0,45.7,41244.0,22653.0,1364.0,16.415934528824167,0.37142858,0500000US05117
150,"Union County, Arkansas",40022.0,39.7,41106.0,23463.0,7936.0,19.829093998300934,0.53892213,0500000US05139
151,"Woodruff County, Arkansas",6763.0,45.3,30097.0,19987.0,1721.0,25.447286707082657,0.6226415,0500000US05147
152,"Cleburne County, Arkansas",25361.0,48.9,42312.0,26189.0,3829.0,15.097985095224951,0.52032518,0500000US05023
153,"Cleveland County, Arkansas",8332.0,42.6,44840.0,23171.0,1589.0,19.071051368218914,0.62068963,0500000US05025
154,"Jackson County, Arkansas",17429.0,40.5,32783.0,19458.0,3592.0,20.609329278788227,0.48739493,0500000US05067
155,"Hempstead County, Arkansas",22154.0,38.9,38701.0,18817.0,5539.0,25.002256928771327,0.49305558,0500000US05057
156,"Sharp County, Arkansas",17041.0,47.3,31792.0,20078.0,3904.0,22.90945367055924,0.44696969,0500000US05135
157,"Stone County, Arkansas",12443.0,49.5,33091.0,19881.0,2983.0,23.97331833159206,0.43518519,0500000US05137
158,"Washington County, Arkansas",223683.0,31.5,47452.0,26371.0,38855.0,17.37056459364368,0.78290671,0500000US05143
159,"Greene County, Arkansas",44197.0,37.7,45566.0,22094.0,6879.0,15.564404823856822,0.48251748,0500000US05055
160,"Baxter County, Arkansas",41093.0,51.8,40072.0,24737.0,5117.0,12.452242474387365,0.5888325,0500000US05005
161,"Ashley County, Arkansas",20771.0,41.8,36407.0,20703.0,4368.0,21.02931972461605,0.56441718,0500000US05003
162,"Craighead County, Arkansas",104246.0,34.0,45672.0,25594.0,18298.0,17.5527118546515,0.83112466,0500000US05031
163,"Lafayette County, Arkansas",7051.0,45.8,32500.0,25140.0,1632.0,23.145653098851227,0.55000001,0500000US05073
164,"Perry County, Arkansas",10320.0,43.7,46168.0,21781.0,1808.0,17.51937984496124,0.40909091,0500000US05105
165,"Yell County, Arkansas",21601.0,39.7,39696.0,20209.0,3792.0,17.554742835979816,0.41249999,0500000US05149
166,"Phillips County, Arkansas",19518.0,38.2,26652.0,17287.0,6363.0,32.600676298801105,0.36781609,0500000US05107
167,"Poinsett County, Arkansas",24098.0,39.7,37487.0,18361.0,5036.0,20.89799983401112,0.5,0500000US05111
168,"Sevier County, Arkansas",17206.0,35.0,43675.0,18388.0,3597.0,20.905498082064398,0.47,0500000US05133
169,"Calhoun County, Arkansas",5194.0,45.2,37225.0,22866.0,986.0,18.983442433577203,0.42222223,0500000US05013
170,"Clark County, Arkansas",22495.0,33.8,37144.0,20382.0,4221.0,18.76416981551456,0.55704695,0500000US05019
171,"Bradley County, Arkansas",10994.0,40.6,36310.0,21575.0,2864.0,26.05057303983991,0.47058824,0500000US05011
172,"Lawrence County, Arkansas",16777.0,42.0,37603.0,19422.0,2976.0,17.73857066221613,0.45454544,0500000US05075
173,"Monroe County, Arkansas",7420.0,46.1,31584.0,20486.0,2098.0,28.274932614555254,0.5,0500000US05095
174,"Polk County, Arkansas",20212.0,43.8,33870.0,18735.0,5326.0,26.35068276271522,0.48101264,0500000US05113
175,"Conway County, Arkansas",20954.0,41.2,39638.0,22365.0,3845.0,18.349718430848526,0.55056179,0500000US05029
176,"Ouachita County, Arkansas",24378.0,42.8,32136.0,19780.0,6231.0,25.559931085404873,0.53005463,0500000US05103
177,"Newton County, Arkansas",7898.0,48.8,38134.0,18053.0,1392.0,17.62471511775133,0.55932206,0500000US05101
178,"Arkansas County, Arkansas",18352.0,40.9,38532.0,23766.0,3735.0,20.352005231037488,0.44047618,0500000US05001
179,"Little River County, Arkansas",12494.0,42.5,36963.0,23412.0,2291.0,18.336801664799104,0.53535354,0500000US05081
180,"Lonoke County, Arkansas",71568.0,35.8,57290.0,25184.0,8709.0,12.168846411804159,0.80299014,0500000US05085
181,"Carroll County, Arkansas",27782.0,44.6,39686.0,21754.0,4331.0,15.58923043697358,0.53977275,0500000US05015
182,"Miller County, Arkansas",43760.0,38.5,41862.0,22227.0,8891.0,20.31764168190128,0.50488597,0500000US05091
183,"Modoc County, California",9017.0,47.8,39296.0,22052.0,1584.0,17.566818232228012,0.5471698,0500000US06049
184,"Merced County, California",267390.0,30.8,46338.0,20120.0,60861.0,22.76113542017278,0.8539722,0500000US06047
185,"Lake County, California",64095.0,45.8,40446.0,23345.0,14398.0,22.4635306966222,0.81238818,0500000US06033
186,"Mariposa County, California",17658.0,51.1,51385.0,28241.0,2629.0,14.88843583644807,0.43103448,0500000US06043
187,"Yuba County, California",74644.0,32.4,51776.0,22814.0,13598.0,18.217137345265527,0.84311813,0500000US06115
188,"Contra Costa County, California",1123678.0,39.2,88456.0,42898.0,108630.0,9.667360222412471,0.92991358,0500000US06013
189,"Inyo County, California",18195.0,45.6,51500.0,30323.0,1806.0,9.925803792250619,0.55288458,0500000US06027
190,"Lassen County, California",31470.0,36.2,54083.0,20974.0,3155.0,10.025421035907213,0.50937498,0500000US06035
191,"Stanislaus County, California",535684.0,33.9,54260.0,24007.0,91210.0,17.026829250080272,0.88135749,0500000US06099
192,"Santa Barbara County, California",442996.0,33.7,68023.0,32872.0,65493.0,14.784106402766616,0.88128555,0500000US06083
193,"Sonoma County, California",500943.0,41.4,71769.0,37767.0,52707.0,10.521556344733831,0.90702027,0500000US06097
194,"Tehama County, California",63247.0,41.1,42512.0,22631.0,13009.0,20.56856451689408,0.51343703,0500000US06103
195,"Imperial County, California",179957.0,32.2,44779.0,17303.0,40376.0,22.436470934723296,0.83213323,0500000US06025
196,"Mono County, California",14058.0,38.3,60595.0,30888.0,1378.0,9.802247830416844,0.52419353,0500000US06051
197,"San Benito County, California",58671.0,35.4,80760.0,30012.0,5670.0,9.66405890473999,0.50453722,0500000US06069
198,"Alameda County, California",1629615.0,37.3,85743.0,41363.0,181194.0,11.11882254397511,0.90071762,0500000US06001
199,"Sacramento County, California",1495400.0,35.9,60239.0,29693.0,246203.0,16.464023003878562,0.89472681,0500000US06067
200,"El Dorado County, California",185015.0,45.5,74885.0,38156.0,17996.0,9.726778909818123,0.90837997,0500000US06017
201,"Napa County, California",141005.0,40.8,79637.0,40632.0,11285.0,8.003262295663275,0.90772825,0500000US06055
202,"San Diego County, California",3283665.0,35.4,70588.0,34350.0,427031.0,13.004706631157564,0.90376532,0500000US06073
203,"Monterey County, California",433168.0,33.9,63249.0,27168.0,60933.0,14.066828574594615,0.80221689,0500000US06053
204,"San Francisco County, California",864263.0,38.3,96265.0,59508.0,99096.0,11.465954229210322,0.90989822,0500000US06075
205,"Sierra County, California",2885.0,55.0,44190.0,31750.0,351.0,12.166377816291162,0.44736844,0500000US06091
206,"Tulare County, California",458809.0,30.6,44871.0,18962.0,122724.0,26.748385493745765,0.81856352,0500000US06107
207,"Yolo County, California",212605.0,30.9,61621.0,30615.0,39686.0,18.666541238446886,0.89769852,0500000US06113
208,"Humboldt County, California",135490.0,37.7,43718.0,25208.0,27481.0,20.282677688390287,0.85548759,0500000US06023
209,"Nevada County, California",98838.0,49.8,60610.0,35581.0,11861.0,12.000445172909204,0.88102132,0500000US06057
210,"Alpine County, California",1203.0,44.9,63438.0,27448.0,235.0,19.534497090606816,0.53846151,0500000US06003
211,"Madera County, California",154440.0,33.7,48210.0,19975.0,32244.0,20.87801087801088,0.77986687,0500000US06039
212,"Mendocino County, California",87497.0,42.4,46528.0,27093.0,16448.0,18.798358800873174,0.81339806,0500000US06045
213,"Santa Cruz County, California",273263.0,37.3,73663.0,36388.0,38605.0,14.12741571306763,0.89668894,0500000US06087
214,"Trinity County, California",13037.0,51.4,36563.0,23575.0,2545.0,19.521362276597376,0.41447368,0500000US06105
215,"Los Angeles County, California",10105722.0,36.0,61015.0,30798.0,1688505.0,16.708405396467466,0.85591775,0500000US06037
216,"Riverside County, California",2355002.0,35.0,60807.0,25700.0,362215.0,15.380666343383147,0.8884331,0500000US06065
217,"San Bernardino County, California",2121220.0,32.9,57156.0,22867.0,374810.0,17.669548655962135,0.86105555,0500000US06071
218,"Santa Clara County, California",1911226.0,37.0,106761.0,48689.0,162525.0,8.503703905241975,0.9293201,0500000US06085
219,"Marin County, California",260814.0,46.1,104703.0,66748.0,20515.0,7.865758739944941,0.9368543,0500000US06041
220,"Placer County, California",374985.0,41.6,80488.0,39734.0,30473.0,8.126458391669,0.92955035,0500000US06061
221,"Siskiyou County, California",43530.0,47.9,40884.0,24605.0,8915.0,20.480128646910178,0.53618419,0500000US06093
222,"Shasta County, California",178919.0,41.8,47258.0,26455.0,31967.0,17.866744169149168,0.83125031,0500000US06089
223,"Solano County, California",434981.0,37.7,72950.0,31934.0,48623.0,11.178189392180348,0.92808753,0500000US06095
224,"Del Norte County, California",27442.0,38.7,41287.0,20809.0,5571.0,20.30099846949931,0.51125401,0500000US06015
225,"Colusa County, California",21479.0,34.7,56481.0,25676.0,2979.0,13.869360770985613,0.50335574,0500000US06011
226,"Glenn County, California",27935.0,36.8,46260.0,21029.0,5404.0,19.344907821729013,0.52014655,0500000US06021
227,"Butte County, California",225207.0,36.9,46516.0,26304.0,44977.0,19.97140408601864,0.85720003,0500000US06007
228,"Kings County, California",150183.0,31.5,49742.0,19835.0,28013.0,18.652577189162557,0.81019831,0500000US06031
229,"Plumas County, California",18724.0,52.1,50266.0,32056.0,2439.0,13.0260628070925,0.52758622,0500000US06063
230,"San Luis Obispo County, California",280119.0,39.0,67175.0,33972.0,36420.0,13.001617169845673,0.89286864,0500000US06079
231,"Fresno County, California",971616.0,31.8,48730.0,22234.0,243040.0,25.0139972993446,0.83163244,0500000US06019
232,"Kern County, California",878744.0,31.3,50826.0,21716.0,191123.0,21.74956528863924,0.82556272,0500000US06029
233,"Orange County, California",3155816.0,37.5,81851.0,37603.0,378459.0,11.992429216405519,0.92418826,0500000US06059
