,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other
125,"Perry County, Alabama",9680.0,2875.0,6735.0,7.0,23.0,0.0,40.0
126,"Walker County, Alabama",64927.0,60301.0,4498.0,773.0,342.0,36.0,156.0
127,"Cleburne County, Alabama",14939.0,14328.0,572.0,78.0,95.0,0.0,79.0
128,"Greene County, Alabama",8533.0,1609.0,6984.0,168.0,0.0,0.0,53.0
129,"Barbour County, Alabama",26201.0,12394.0,12660.0,135.0,232.0,0.0,996.0
130,"Bibb County, Alabama",22580.0,17511.0,5080.0,169.0,0.0,0.0,8.0
131,"Bullock County, Alabama",10478.0,2368.0,7925.0,179.0,73.0,0.0,2.0
132,"Calhoun County, Alabama",115527.0,88613.0,25229.0,1422.0,1514.0,64.0,1588.0
133,"Chambers County, Alabama",33895.0,19867.0,13545.0,172.0,386.0,0.0,259.0
134,"Clarke County, Alabama",24625.0,13216.0,11342.0,19.0,127.0,22.0,7.0
135,"Fayette County, Alabama",16657.0,14481.0,2272.0,63.0,93.0,68.0,0.0
136,"Montgomery County, Alabama",227120.0,87264.0,132123.0,1456.0,7156.0,193.0,3470.0
137,"Marshall County, Alabama",94738.0,89361.0,2759.0,1417.0,741.0,61.0,2166.0
138,"Blount County, Alabama",57667.0,56001.0,1201.0,709.0,286.0,53.0,466.0
139,"Henry County, Alabama",17110.0,12284.0,4819.0,77.0,36.0,25.0,48.0
140,"Madison County, Alabama",353213.0,250582.0,90285.0,6298.0,11977.0,835.0,4575.0
141,"Autauga County, Alabama",55036.0,43036.0,10777.0,458.0,824.0,123.0,738.0
142,"Tallapoosa County, Alabama",40756.0,28773.0,11335.0,290.0,262.0,0.0,451.0
143,"Geneva County, Alabama",26572.0,23573.0,2736.0,430.0,137.0,0.0,274.0
144,"Wilcox County, Alabama",10919.0,2987.0,7904.0,26.0,0.0,0.0,52.0
145,"Kodiak Island Borough, Alaska",13773.0,8097.0,79.0,2581.0,3254.0,193.0,634.0
146,"Denali Borough, Alaska",2303.0,2093.0,14.0,117.0,264.0,39.0,5.0
147,"Valdez-Cordova Census Area, Alaska",9439.0,7508.0,46.0,1891.0,496.0,269.0,93.0
148,"Kenai Peninsula Borough, Alaska",57961.0,51705.0,660.0,6910.0,1469.0,401.0,519.0
149,"Aleutians West Census Area, Alaska",5784.0,2027.0,355.0,858.0,2410.0,231.0,399.0
150,"Bristol Bay Borough, Alaska",917.0,539.0,8.0,396.0,22.0,13.0,21.0
151,"Northwest Arctic Borough, Alaska",7715.0,1165.0,81.0,6559.0,137.0,36.0,81.0
152,"Bethel Census Area, Alaska",17957.0,2570.0,215.0,15521.0,278.0,50.0,125.0
153,"North Slope Borough, Alaska",9757.0,3553.0,203.0,5617.0,639.0,302.0,158.0
154,"Sitka City and Borough, Alaska",8810.0,6660.0,123.0,2135.0,770.0,64.0,144.0
155,"Fairbanks North Star Borough, Alaska",100031.0,83815.0,6717.0,11473.0,4807.0,873.0,1214.0
156,"Ketchikan Gateway Borough, Alaska",13745.0,10422.0,230.0,2925.0,1369.0,127.0,118.0
157,"Matanuska-Susitna Borough, Alaska",101135.0,92155.0,2307.0,11228.0,2783.0,851.0,893.0
158,"Yakutat City and Borough, Alaska",682.0,418.0,9.0,295.0,62.0,15.0,11.0
159,"Nome Census Area, Alaska",9869.0,2279.0,143.0,7958.0,205.0,50.0,14.0
160,"Dillingham Census Area, Alaska",4974.0,1146.0,56.0,3961.0,130.0,7.0,37.0
161,"Haines Borough, Alaska",2537.0,2191.0,26.0,319.0,124.0,11.0,37.0
162,"Juneau City and Borough, Alaska",32434.0,24992.0,723.0,5866.0,3126.0,592.0,608.0
163,"Lake and Peninsula Borough, Alaska",1301.0,363.0,14.0,934.0,61.0,15.0,2.0
164,"Southeast Fairbanks Census Area, Alaska",6889.0,5781.0,225.0,1042.0,156.0,36.0,69.0
165,"Yukon-Koyukuk Census Area, Alaska",5453.0,1521.0,26.0,4163.0,40.0,4.0,9.0
166,"Anchorage Municipality, Alaska",298225.0,215326.0,23417.0,37535.0,35709.0,9515.0,8526.0
167,"Aleutians East Borough, Alaska",3338.0,731.0,188.0,1426.0,936.0,61.0,224.0
168,"Prince of Wales-Hyder Census Area, Alaska",6473.0,3675.0,36.0,3237.0,105.0,57.0,37.0
169,"Wrangell City and Borough, Alaska",2475.0,1836.0,6.0,757.0,88.0,7.0,1.0
170,"Hoonah-Angoon Census Area, Alaska",2146.0,1141.0,95.0,987.0,80.0,2.0,24.0
171,"Skagway Municipality, Alaska",1038.0,902.0,10.0,95.0,67.0,0.0,20.0
172,"Petersburg Borough, Alaska",3275.0,2699.0,35.0,398.0,329.0,74.0,18.0
173,"Kusilvak Census Area, Alaska",8129.0,614.0,101.0,7694.0,49.0,15.0,2.0
174,"Pima County, Arizona",1007257.0,811721.0,48369.0,50280.0,40753.0,3920.0,101935.0
175,"Maricopa County, Arizona",4155501.0,3365553.0,273545.0,117941.0,207985.0,19177.0,328219.0
176,"Gila County, Arizona",53145.0,42678.0,532.0,9564.0,541.0,8.0,1371.0
177,"Graham County, Arizona",37700.0,30646.0,835.0,5641.0,322.0,124.0,1113.0
178,"Santa Cruz County, Arizona",46358.0,40425.0,322.0,355.0,448.0,0.0,5298.0
179,"Cochise County, Arizona",126516.0,111538.0,6853.0,3363.0,4181.0,1053.0,5946.0
180,"La Paz County, Arizona",20477.0,15999.0,342.0,3035.0,178.0,54.0,1508.0
181,"Mohave County, Arizona",204691.0,189061.0,3331.0,6828.0,3524.0,824.0,6020.0
182,"Apache County, Arizona",71602.0,17604.0,925.0,53580.0,390.0,172.0,692.0
183,"Coconino County, Arizona",138639.0,92558.0,2869.0,39478.0,3673.0,682.0,4623.0
184,"Yavapai County, Arizona",220972.0,207901.0,2305.0,6286.0,3292.0,244.0,6039.0
185,"Yuma County, Arizona",204281.0,153267.0,5780.0,4611.0,3859.0,661.0,41673.0
186,"Greenlee County, Arizona",9368.0,8571.0,197.0,384.0,48.0,0.0,206.0
187,"Navajo County, Arizona",107902.0,54566.0,1772.0,50094.0,1004.0,187.0,3888.0
188,"Pinal County, Arizona",405537.0,338807.0,22811.0,26797.0,10015.0,2717.0,20724.0
189,"White County, Arkansas",78706.0,73721.0,4194.0,943.0,701.0,55.0,1118.0
190,"Nevada County, Arkansas",8528.0,5547.0,2910.0,58.0,122.0,1.0,0.0
191,"St. Francis County, Arkansas",26688.0,11240.0,15030.0,122.0,172.0,0.0,454.0
192,"Pulaski County, Arkansas",392848.0,233596.0,147701.0,4132.0,10868.0,276.0,7960.0
193,"Clay County, Arkansas",15190.0,14791.0,211.0,139.0,17.0,17.0,203.0
194,"Cross County, Arkansas",17164.0,12988.0,4186.0,328.0,15.0,0.0,70.0
195,"Dallas County, Arkansas",7585.0,4284.0,3135.0,34.0,146.0,34.0,67.0
196,"Drew County, Arkansas",18620.0,12980.0,5389.0,111.0,88.0,57.0,231.0
197,"Columbia County, Arkansas",23992.0,14697.0,8556.0,74.0,266.0,0.0,571.0
198,"Randolph County, Arkansas",17514.0,17119.0,262.0,220.0,134.0,0.0,75.0
199,"Saline County, Arkansas",116252.0,106256.0,8310.0,1284.0,1643.0,342.0,749.0
200,"Van Buren County, Arkansas",16751.0,16433.0,187.0,395.0,50.0,30.0,135.0
201,"Boone County, Arkansas",37212.0,36434.0,250.0,772.0,283.0,36.0,36.0
202,"Izard County, Arkansas",13521.0,13009.0,270.0,303.0,32.0,49.0,53.0
203,"Independence County, Arkansas",37097.0,34970.0,1055.0,422.0,374.0,6.0,1084.0
204,"Lincoln County, Arkansas",13885.0,9263.0,4400.0,96.0,0.0,0.0,172.0
205,"Logan County, Arkansas",21802.0,20478.0,681.0,437.0,277.0,0.0,366.0
206,"Grant County, Arkansas",18076.0,17488.0,531.0,194.0,101.0,5.0,41.0
207,"Crittenden County, Arkansas",49278.0,23745.0,25397.0,1856.0,419.0,79.0,229.0
208,"Franklin County, Arkansas",17803.0,17099.0,231.0,539.0,127.0,25.0,63.0
209,"Faulkner County, Arkansas",121282.0,102818.0,14799.0,1634.0,2013.0,209.0,2733.0
210,"Pike County, Arkansas",10893.0,9972.0,408.0,156.0,88.0,0.0,492.0
211,"Jefferson County, Arkansas",71373.0,29740.0,40552.0,508.0,707.0,0.0,726.0
212,"Marion County, Arkansas",16374.0,16022.0,67.0,377.0,103.0,0.0,60.0
213,"Montgomery County, Arkansas",9059.0,8414.0,48.0,342.0,142.0,10.0,238.0
214,"Scott County, Arkansas",10584.0,9797.0,77.0,350.0,383.0,28.0,255.0
215,"Searcy County, Arkansas",7925.0,7676.0,78.0,160.0,106.0,0.0,92.0
216,"Sebastian County, Arkansas",127362.0,103891.0,9929.0,4516.0,6313.0,116.0,8067.0
217,"Crawford County, Arkansas",62119.0,57665.0,1204.0,2704.0,1204.0,46.0,1362.0
218,"Benton County, Arkansas",251823.0,228504.0,5660.0,7384.0,10553.0,1498.0,5574.0
219,"Chicot County, Arkansas",11008.0,4825.0,6003.0,58.0,57.0,0.0,137.0
220,"Hot Spring County, Arkansas",33480.0,29133.0,3949.0,518.0,259.0,26.0,469.0
221,"Johnson County, Arkansas",26155.0,24671.0,601.0,480.0,503.0,34.0,525.0
222,"Lee County, Arkansas",9614.0,4093.0,5531.0,60.0,10.0,0.0,0.0
223,"Madison County, Arkansas",15907.0,15435.0,198.0,491.0,66.0,73.0,65.0
224,"Desha County, Arkansas",12094.0,5975.0,5786.0,61.0,73.0,5.0,336.0
225,"Fulton County, Arkansas",12092.0,11890.0,84.0,264.0,37.0,7.0,46.0
226,"Howard County, Arkansas",13472.0,9232.0,2876.0,208.0,30.0,0.0,1396.0
227,"Garland County, Arkansas",97994.0,86049.0,9299.0,1439.0,883.0,302.0,2497.0
228,"Mississippi County, Arkansas",43534.0,27174.0,15667.0,345.0,257.0,18.0,781.0
229,"Pope County, Arkansas",63372.0,59545.0,2649.0,1045.0,901.0,17.0,1125.0
230,"Prairie County, Arkansas",8309.0,7142.0,1138.0,54.0,1.0,0.0,28.0
231,"Union County, Arkansas",40022.0,26163.0,13323.0,429.0,310.0,0.0,173.0
232,"Woodruff County, Arkansas",6763.0,4794.0,1914.0,14.0,111.0,6.0,5.0
233,"Cleburne County, Arkansas",25361.0,24774.0,158.0,335.0,205.0,0.0,57.0
234,"Cleveland County, Arkansas",8332.0,7372.0,1008.0,58.0,62.0,11.0,6.0
235,"Jackson County, Arkansas",17429.0,14259.0,3269.0,289.0,8.0,0.0,94.0
236,"Hempstead County, Arkansas",22154.0,13693.0,6824.0,298.0,93.0,139.0,1687.0
237,"Sharp County, Arkansas",17041.0,16672.0,233.0,387.0,139.0,6.0,142.0
238,"Stone County, Arkansas",12443.0,12312.0,132.0,263.0,11.0,0.0,31.0
239,"Washington County, Arkansas",223683.0,180505.0,9344.0,5762.0,6951.0,5334.0,23556.0
240,"Greene County, Arkansas",44197.0,43040.0,781.0,466.0,200.0,53.0,437.0
241,"Baxter County, Arkansas",41093.0,40203.0,111.0,698.0,204.0,46.0,441.0
242,"Ashley County, Arkansas",20771.0,15122.0,5369.0,162.0,1.0,0.0,301.0
243,"Craighead County, Arkansas",104246.0,86043.0,16093.0,1457.0,1466.0,216.0,2157.0
244,"Lafayette County, Arkansas",7051.0,4290.0,2690.0,66.0,27.0,0.0,38.0
245,"Perry County, Arkansas",10320.0,9872.0,306.0,189.0,24.0,0.0,165.0
246,"Yell County, Arkansas",21601.0,17591.0,537.0,258.0,333.0,0.0,3028.0
247,"Phillips County, Arkansas",19518.0,7182.0,12413.0,36.0,44.0,0.0,53.0
248,"Poinsett County, Arkansas",24098.0,22438.0,1585.0,965.0,14.0,0.0,215.0
249,"Sevier County, Arkansas",17206.0,11423.0,857.0,588.0,141.0,54.0,4540.0
250,"Calhoun County, Arkansas",5194.0,4000.0,1201.0,11.0,11.0,10.0,10.0
251,"Clark County, Arkansas",22495.0,16519.0,5551.0,211.0,175.0,0.0,380.0
252,"Bradley County, Arkansas",10994.0,6879.0,3238.0,183.0,0.0,6.0,719.0
253,"Lawrence County, Arkansas",16777.0,16491.0,222.0,224.0,55.0,2.0,25.0
254,"Monroe County, Arkansas",7420.0,4298.0,3143.0,42.0,37.0,0.0,89.0
255,"Polk County, Arkansas",20212.0,19180.0,181.0,754.0,149.0,39.0,593.0
256,"Conway County, Arkansas",20954.0,18480.0,2681.0,381.0,78.0,46.0,38.0
257,"Ouachita County, Arkansas",24378.0,14299.0,10186.0,256.0,67.0,43.0,22.0
258,"Newton County, Arkansas",7898.0,7724.0,4.0,304.0,42.0,0.0,12.0
259,"Arkansas County, Arkansas",18352.0,13435.0,4964.0,46.0,9.0,0.0,92.0
260,"Little River County, Arkansas",12494.0,9433.0,2617.0,292.0,25.0,0.0,337.0
261,"Lonoke County, Arkansas",71568.0,65305.0,4708.0,895.0,1067.0,108.0,1165.0
262,"Carroll County, Arkansas",27782.0,26320.0,476.0,686.0,314.0,186.0,436.0
263,"Miller County, Arkansas",43760.0,31549.0,11388.0,1029.0,294.0,27.0,516.0
264,"Modoc County, California",9017.0,8410.0,94.0,464.0,179.0,45.0,38.0
265,"Merced County, California",267390.0,163264.0,11950.0,4533.0,23476.0,1574.0,75728.0
266,"Lake County, California",64095.0,51260.0,1879.0,3055.0,1279.0,77.0,8207.0
267,"Mariposa County, California",17658.0,16285.0,269.0,866.0,399.0,219.0,380.0
268,"Yuba County, California",74644.0,59851.0,4108.0,3924.0,6428.0,713.0,6277.0
269,"Contra Costa County, California",1123678.0,718665.0,119243.0,20847.0,217878.0,13042.0,117981.0
270,"Inyo County, California",18195.0,15144.0,238.0,2332.0,360.0,52.0,607.0
271,"Lassen County, California",31470.0,26088.0,2811.0,1384.0,561.0,321.0,954.0
272,"Stanislaus County, California",535684.0,420765.0,20273.0,9910.0,36941.0,5826.0,66671.0
273,"Santa Barbara County, California",442996.0,347736.0,12724.0,9403.0,31248.0,2373.0,60576.0
274,"Sonoma County, California",500943.0,400960.0,13182.0,14927.0,28698.0,4429.0,68102.0
275,"Tehama County, California",63247.0,56775.0,825.0,3034.0,1227.0,81.0,3988.0
276,"Imperial County, California",179957.0,124596.0,6495.0,3922.0,4372.0,454.0,48818.0
277,"Mono County, California",14058.0,12364.0,90.0,428.0,538.0,26.0,1015.0
278,"San Benito County, California",58671.0,50390.0,869.0,1271.0,2467.0,336.0,6288.0
279,"Alameda County, California",1629615.0,776267.0,212267.0,26156.0,527528.0,24871.0,178531.0
280,"Sacramento County, California",1495400.0,961714.0,186222.0,34405.0,274657.0,26397.0,129492.0
281,"El Dorado County, California",185015.0,168214.0,2603.0,4048.0,10464.0,1030.0,5837.0
282,"Napa County, California",141005.0,106962.0,3699.0,2494.0,13592.0,1121.0,19009.0
283,"San Diego County, California",3283665.0,2467578.0,206724.0,51911.0,467696.0,32483.0,240722.0
284,"Monterey County, California",433168.0,295685.0,15789.0,7188.0,33309.0,3962.0,97431.0
285,"San Francisco County, California",864263.0,445100.0,55436.0,10020.0,322008.0,6453.0,72379.0
286,"Sierra County, California",2885.0,2851.0,10.0,44.0,39.0,0.0,1.0
287,"Tulare County, California",458809.0,374115.0,10274.0,9905.0,20705.0,1822.0,57974.0
